Event,Suburb,PreRent,PostRent,Diff
RBA Rate Hike Cycle Start,Balwyn,525.0,556.25,31.25
RBA Rate Hike Cycle Start,Bayswater,405.0,426.25,21.25
RBA Rate Hike Cycle Start,Benalla,347.5,383.25,35.75
RBA Rate Hike Cycle Start,Bendigo,357.5,379.5,22.0
RBA Rate Hike Cycle Start,Bentleigh,491.25,518.5,27.25
RBA Rate Hike Cycle Start,Berwick,417.5,455.0,37.5
RBA Rate Hike Cycle Start,Blackburn,426.25,450.0,23.75
RBA Rate Hike Cycle Start,Boronia,400.0,428.75,28.75
RBA Rate Hike Cycle Start,Box Hill,402.5,443.75,41.25
RBA Rate Hike Cycle Start,Brighton,654.0,688.25,34.25
RBA Rate Hike Cycle Start,Brighton East,731.25,760.25,29.0
RBA Rate Hike Cycle Start,Brunswick,421.25,456.25,35.0
RBA Rate Hike Cycle Start,Carlton North,577.5,603.75,26.25
RBA Rate Hike Cycle Start,Carnegie,393.75,410.0,16.25
RBA Rate Hike Cycle Start,Castlemaine,378.75,412.0,33.25
RBA Rate Hike Cycle Start,Caulfield,405.0,455.0,50.0
RBA Rate Hike Cycle Start,Cheltenham,467.5,493.75,26.25
RBA Rate Hike Cycle Start,Clayton,400.0,435.0,35.0
RBA Rate Hike Cycle Start,Corio,318.75,342.5,23.75
RBA Rate Hike Cycle Start,Craigieburn,392.5,413.75,21.25
RBA Rate Hike Cycle Start,Cranbourne,407.5,445.0,37.5
RBA Rate Hike Cycle Start,Dandenong,350.0,364.25,14.25
RBA Rate Hike Cycle Start,East Melbourne,455.0,506.25,51.25
RBA Rate Hike Cycle Start,Echuca,364.0,394.25,30.25
RBA Rate Hike Cycle Start,Elsternwick,435.5,452.5,17.0
RBA Rate Hike Cycle Start,Elwood,420.0,432.5,12.5
RBA Rate Hike Cycle Start,Essendon,399.75,408.75,9.0
RBA Rate Hike Cycle Start,Ferntree Gully,425.0,446.25,21.25
RBA Rate Hike Cycle Start,Fitzroy,535.0,560.0,25.0
RBA Rate Hike Cycle Start,Footscray,365.0,385.0,20.0
RBA Rate Hike Cycle Start,Frankston,395.0,435.0,40.0
RBA Rate Hike Cycle Start,Hamilton,292.5,325.0,32.5
RBA Rate Hike Cycle Start,Hawthorn,378.75,395.0,16.25
RBA Rate Hike Cycle Start,Horsham,316.25,340.0,23.75
RBA Rate Hike Cycle Start,Keilor,432.5,460.0,27.5
RBA Rate Hike Cycle Start,Kew,477.5,506.25,28.75
RBA Rate Hike Cycle Start,Lara,434.5,468.75,34.25
RBA Rate Hike Cycle Start,Malvern,452.5,471.25,18.75
RBA Rate Hike Cycle Start,Malvern East,407.5,457.5,50.0
RBA Rate Hike Cycle Start,Melton,350.0,360.0,10.0
RBA Rate Hike Cycle Start,Mildura,337.5,350.0,12.5
RBA Rate Hike Cycle Start,Morwell,262.0,302.5,40.5
RBA Rate Hike Cycle Start,Mount Waverley,499.5,525.0,25.5
RBA Rate Hike Cycle Start,Noble Park,361.25,381.25,20.0
RBA Rate Hike Cycle Start,North Bendigo,358.75,393.75,35.0
RBA Rate Hike Cycle Start,North Geelong,387.0,415.0,28.0
RBA Rate Hike Cycle Start,Northcote,491.25,496.25,5.0
RBA Rate Hike Cycle Start,Pakenham,372.5,405.0,32.5
RBA Rate Hike Cycle Start,Port Melbourne,595.0,618.25,23.25
RBA Rate Hike Cycle Start,Portland,350.0,365.0,15.0
RBA Rate Hike Cycle Start,Preston,402.5,427.5,25.0
RBA Rate Hike Cycle Start,Reservoir,380.0,393.75,13.75
RBA Rate Hike Cycle Start,Ringwood,412.5,435.0,22.5
RBA Rate Hike Cycle Start,Rowville,470.0,501.25,31.25
RBA Rate Hike Cycle Start,Seymour,314.0,358.75,44.75
