Event,Suburb,PreRent,PostRent,Diff
RBA Easing Cycle Start,Swan Hill,370.0,400.0,30.0
RBA Easing Cycle Start,Sydenham,487.5,500.0,12.5
RBA Easing Cycle Start,Thornbury,508.75,536.5,27.75
RBA Easing Cycle Start,Toorak,652.5,650.0,-2.5
RBA Easing Cycle Start,Torquay,645.0,655.0,10.0
RBA Easing Cycle Start,Traralgon,422.5,440.0,17.5
RBA Easing Cycle Start,West Footscray,510.0,545.0,35.0
RBA Easing Cycle Start,Whittlesea,522.5,540.0,17.5
RBA Easing Cycle Start,Williamstown,630.0,650.0,20.0
RBA Easing Cycle Start,Wodonga,450.0,480.0,30.0
